age_range,mes,positive_cases,deaths,ratio,Dosis1,Dosis2,Dosis3,2dosis_cum
60+,1,13295,4099,0.308311395,13,13,0,13
60+,2,53852,20436,0.379484513,34719,13,0,26
60+,3,82858,27978,0.337662024,133878,46536,0,46549
60+,4,86672,31094,0.358754846,345969,122154,0,168690
60+,5,55210,22972,0.416084043,1739209,578980,3,701134
60+,6,27094,9846,0.363401491,913220,1724953,17,2303933
60+,7,10632,3616,0.340105342,241455,663409,14,2388362
60+,8,6144,2228,0.362630208,129361,196270,11,859679
60+,9,6280,1544,0.245859873,129353,136518,41,332788
60+,10,7898,1566,0.198278045,57556,99997,51856,236515
60+,11,13320,1696,0.127327327,60757,53554,557647,153551
60+,12,14360,1926,0.134122563,109809,89855,1463466,143409
